T PL,H PL,verb,verb - main semantic class,verb - tense,verb - factive/nonfactive,complement - tense,T - negation,T - type of sentence,"GOLD <T,H>"
"Myślałem, że kupimy za te pieniądze cukierków i kwasu - wtrącił płaczliwie Boria.",kupimy za te pieniądze cukierków i kwasu,"myśleć, że_",epistemiczny,past,NF,future,False,indywidualne,C
"Musi pamiętać o tym, że nie wolno mu obarczać swoich podwładnych złymi nastrojami zwierzchników (a także swoimi humorami). ",nie wolno mu obarczać swoich podwładnych złymi nastrojami zwierzchników,"pamiętać, że_",epistemiczny,present,F,present,False,indywidualne,E
"Być może, to właśnie powojenny chaos, przyziemne trudności komunikacyjne oraz niepewna sytuacja ukraińskich emigrantów sprawiły, że Kedryn nie nawiązał kontaktu z redaktorem ""Kultury"" w czasie swojego pobytu w Europie. "," Kedryn nie nawiązał kontaktu z redaktorem ""Kultury"" w czasie swojego pobytu w Europie. ","sprawiać, że_",inne,past,NF,past,False,indywidualne,E
twierdzę że PiS się rozpadnie,PiS się rozpadnie,"twierdzić, że_",mówienia,present,NF,future,False,indywidualne,N
"Krzysztof Sikora podczas uroczystości podkreślił, że szczególne gratulacje należą się Januszowi Radzikowskiemu i Januszowi Kiszce.",szczególne gratulacje należą się Januszowi Radzikowskiemu i Januszowi Kiszce.,"podkreślić, że_",mówienia,past,NF,present,False,indywidualne,N
"Rozumiem, że znowu będę tu siedziała sama przez cały dzień. ",znowu będę tu siedziała sama przez cały dzień. ,"rozumieć coś w jakiś sposób, że_",epistemiczny,present,NF,future,False,indywidualne,N
"Dyrektora nie zastałam, ale jego przemiła asystentka sprawiła, że w Izbie Przyjęć Szpitala Wojewódzkiego w pokoju ortopedy zdjęto ojcu szynę gipsową. ", w Izbie Przyjęć Szpitala Wojewódzkiego w pokoju ortopedy zdjęto ojcu szynę gipsową. ,"sprawić, że_",inne,past,NF,past,False,indywidualne,E
"Zwykle pracuję od 8.30 do 20.30, ale bywa, że i do północy.",i do północy.,"bywać, że_",inne,present,NF,inne,False,indywidualne,E
"William Wedin, psycholog pomagający biseksom w Nowym Jorku, twierdzi, że odkrycie związku męża z innym mężczyzną (a dwie trzecie znanych mu mężczyzn bi było żonatych, głównie z kobietami hetero) rujnuje zwykle małżeństwo.",odkrycie związku męża z innym mężczyzną rujnuje zwykle małżeństwo.,"twierdzić, że_",mówienia,present,NF,present,False,indywidualne,N
"Przeliczając to na prawie 20 000 studentów psychologii w całym kraju, łatwo obliczyć, że profesor psychologii to cenny nabytek.",profesor psychologii to cenny nabytek.,"obliczyć, że_",epistemiczny,present,NF,present,False,indywidualne,N
"Dębski zapowiedział, że to, kim był ów wysoki funkcjonariusz, ujawni tylko Buzkowi lub Krzaklewskiemu.","to, kim był ów wysoki funkcjonariusz, ujawni tylko Buzkowi lub Krzaklewskiemu.","zapowiedzieć, że_",mówienia,past,NF,future,False,indywidualne,N
"Wypowiedź Barszcza dlatego mnie zachwyciła, gdyż odbiega dramatycznie od metod zwalczania korupcji uprawianych przez rząd, który sądzi, że za pomocą pokazowych aresztowań uda się zwalczyć tę patologię.", za pomocą pokazowych aresztowań uda się zwalczyć tę patologię.,"sądzić, że_",epistemiczny,present,NF,future,False,indywidualne,N
 powiedziała że nie chce ,nie chce ,"powiedzieć, że_",mówienia,past,NF,present,False,indywidualne,N
 ja myślałem że to jest szampan nie ? że w promocji był do piwa. natomiast. to to jest piwo,to jest szampan ,"myśleć, że_",epistemiczny,past,NF,present,False,indywidualne,C
"Tak, olbrzymie są już - powiedział z roztargnieniem Wiktor - nie wiedziałem wcale, że wyszłaś za mąż. ",wyszłaś za mąż. ,"wiedzieć, że_",epistemiczny,past,F,past,True,indywidualne,E
"Czyż nie wiedziałaś, Czarodziejko, że tajemnica Twej boskiej natury mogła cały czas na mnie spadać siecią Twego niekończącego się urok u ?",tajemnica Twej boskiej natury mogła cały czas na mnie spadać siecią Twego niekończącego się urok u ,"wiedzieć, że_",epistemiczny,past,F,past,True,pytajne,E
"Mówiła, że wolała się czołgać niż na nim jeździć.",wolała się czołgać niż na nim jeździć.,"mówić, że_",mówienia,past,NF,past,False,indywidualne,N
"Większość twierdzi że jestem przykładem pesymistki a to tylko dlatego że nigdy nie robię sobie nadziei i wymyślam najgorsze scenariusze wszystkich wydarzeń, żeby się nie zawieść...",jestem przykładem pesymistki,"twierdzić, że_",mówienia,present,NF,present,False,indywidualne,N
"Przypomnijmy, że w naszym redakcyjnym gronie mamy dwoje publicystów z tytułem Dziennikarza Roku: Janinę Paradowską i Jacka Żakowskiego.",w naszym redakcyjnym gronie mamy dwoje publicystów z tytułem Dziennikarza Roku,"przypominać komuś, że_",mówienia,,F,present,False,performatyw,E
 i powiem. że ja też się urodziłem przez cesarskie cięcie. , ja też się urodziłem przez cesarskie cięcie. ,"powiedzieć, że_",mówienia,future,NF,past,False,indywidualne,N
"kierowca nie musi się zbytnio interesować działaniem poszczególnych modeli samochodów, ponieważ wie, że każdy z nich uruchamiany jest poprzez przekręcenie kluczyka w stacyjce, a prowadzenie maszyny możliwe jest dzięki zmianie biegów oraz odpowiedniemu używaniu sprzęgła, gazu i hamulca.","każdy z nich uruchamiany jest poprzez przekręcenie kluczyka w stacyjce, a prowadzenie maszyny możliwe jest dzięki zmianie biegów oraz odpowiedniemu używaniu sprzęgła, gazu i hamulca.","wiedzieć, że_",epistemiczny,present,F,present,False,indywidualne,E
"Były to jeszcze czasy ogromnej popularności grunge'u - stylu, który uświadomił, że zwykły rock znów może być czymś niezwykłym dla milionowych audytoriów. ", zwykły rock znów może być czymś niezwykłym dla milionowych audytoriów.,"uświadomić sobie, że_",epistemiczny,past,F,present,False,indywidualne,E
"Okazało się, że to Lepper wyprawia imieniny. ",to Lepper wyprawia imieniny. ,"okazać się, że_",inne,past,NF,present,False,indywidualne,E
"Był za to pewien, że jakby zobaczył taką kobrę w ataku, odczuł by to samo, co dziś gdy spojrzał Jurkowi w oczy."," jakby zobaczył taką kobrę w ataku, odczuł by to samo, co dziś gdy spojrzał Jurkowi w oczy.","być pewnym, że_",epistemiczny,past,NF,inne,False,indywidualne,N
"Nas nikt nawet nie poinformował, że stadion idzie pod młotek.", stadion idzie pod młotek.,"poinformować, że_",mówienia,past,NF,inne,True,indywidualne,E
 Ania cos tam tłumaczyła że jestem koleżanka ze szkoły, jestem koleżanka ze szkoły,"tłumaczyć, że_",mówienia,past,NF,present,False,indywidualne,N
"Ja w każdej chwili jestem do państwa dyspozycji i jeżeli tylko uznacie, że moja obecność w czasie tej rozmowy jest potrzebna to stawię się natychmiast.",moja obecność w czasie tej rozmowy jest potrzebna,"uznać, że_",epistemiczny,future,NF,present,False,warunkowe,N
myślę że tak naprawdę wszyscy,tak naprawdę wszyscy,"myśleć, że_",epistemiczny,present,NF,inne,False,indywidualne,N
"Tymczasem Sejm zdecydował wczoraj, że pieniądze otrzymają tylko ci, którzy dostają zasiłek rodzinny."," pieniądze otrzymają tylko ci, którzy dostają zasiłek rodzinny.","zdecydować, że_",inne,past,NF,future,False,indywidualne,N
"Lamentujemy nad ginącymi gatunkami, czy to roślin, czy zwierząt, a kiedy udaje się je odratować, okazuje się, że lepiej było, jak stanowiły nieliczną grupę, ponieważ teraz zaczęły nam, ludziom, przeszkadzać."," lepiej było, jak stanowiły nieliczną grupę, ","okazywać się, że_",inne,present,NF,past,False,indywidualne,E
"Wiem, że cyklicznie się spotyka.",cyklicznie się spotyka.,"wiedzieć, że_",epistemiczny,present,F,present,False,indywidualne,E
"Trudno więc się dziwić, że stał się najlepiej sprzedającym się samolotem na świecie. ", stał się najlepiej sprzedającym się samolotem na świecie. ,"dziwić się, że_",epistemiczny,,F,past,False,indywidualne,E
" Trzeba przy tym pamiętać, że człowiek wynosi z rodzinnego domu niesłychanie silne przyzwyczajenia, także jeśli chodzi o sposób gospodarowania pieniędzmi.", człowiek wynosi z rodzinnego domu niesłychanie silne przyzwyczajenia,"pamiętać, że_",epistemiczny,,F,present,False,indywidualne,E
"Trudno bowiem mówić, że suto opłacana „produkcja” menedżerów i innych specjalistów od zarządzania, propagowana od lat, nie wycisnęła swego piętna na wspomnianej statystyce. ","suto opłacana „produkcja” menedżerów i innych specjalistów od zarządzania, propagowana od lat, nie wycisnęła swego piętna na wspomnianej statystyce. ","mówić, że_",mówienia,,NF,past,False,indywidualne,N
"Dodaje, że już co najmniej od półtora roku jej pracownicy za darmo przyjmują od klientów zużyte telewizory, pralki i lodówki. "," już co najmniej od półtora roku jej pracownicy za darmo przyjmują od klientów zużyte telewizory, pralki i lodówki. ","dodawać, że_",mówienia,present,NF,present,False,indywidualne,N
"Powiedziałbym im, że siostra dzięki zamianie literek ze zwykłej Marysi przemienia się w bohaterską Marusię i nie czuje się już gorsza od kolegów z podwórka.",siostra dzięki zamianie literek ze zwykłej Marysi przemienia się w bohaterską Marusię i nie czuje się już gorsza od kolegów z podwórka.,"powiedzieć, że_",mówienia,,NF,present,False,kontrfaktyczne,N
"Paragraf 21 mówi o tym, że towar musi być wymieniony na nowy, chyba że kupiliśmy rzeczy używane. ","towar musi być wymieniony na nowy,","mówić, że_",mówienia,present,NF,present,False,indywidualne,N
mówisz że ma radochę..,ma radochę..,"mówić, że_",mówienia,present,NF,present,False,indywidualne,N
"Ewa Wilk słusznie napisała [art. ""Dramat obowiązkowy"", POLITYKA 18], że zadaniem szkoły jest wyrobienie w uczniu ""elementarnych kompetencji: odróżniania, selekcjonowania, samodzielności oceny, odporności na propagandę"". ","zadaniem szkoły jest wyrobienie w uczniu ""elementarnych kompetencji","napisać, że_",mówienia,past,NF,present,False,indywidualne,N
"W polu Kryteria: kolumny Imie wpisz w cudzysłowie imię osoby, o której wiesz, że i tak nigdy nie odda pożyczonych filmów (rysunek 4.20).",i tak nigdy nie odda pożyczonych filmów,"wiedzieć, że_",epistemiczny,present,F,future,False,reguła,N
"Republikanie zacierają ręce, cieszą się, że swoim megalomańskim wystąpieniem Clinton nie pomógł Gore’owi ani na jotę. ",swoim megalomańskim wystąpieniem Clinton nie pomógł Gore’owi ani na jotę. ,"cieszyć się, że_",emotywny,present,F,past,False,indywidualne,E
" Za dwa lata trudno będzie sobie przypomnieć, że tego tunelu kiedyś nie było.",tego tunelu kiedyś nie było.,"przypomnieć sobie, że_",epistemiczny,future,F,past,False,indywidualne,E
"Udaje, że zna",zna,"udawać, że_",inne,present,NF,present,False,indywidualne,C
"Niektórzy politycy jeszcze przed wyjazdem martwili się, że jednak nie wszystkie przyjemności będą dozwolone. ",jednak nie wszystkie przyjemności będą dozwolone. ,"martwić się, że_",epistemiczny,past,NF,future,False,indywidualne,N
" Sam inspektor Spałek dobitnie stwierdził, że została wykonana fuszerka i zlecił powtórne wykonanie prac.", została wykonana fuszerka i zlecił powtórne wykonanie prac.,"stwierdzić, że_",mówienia,past,NF,past,False,indywidualne,N
"Myślę, że powinien pan to jeszcze raz przejrzeć.",powinien pan to jeszcze raz przejrzeć.,"myśleć, że_",epistemiczny,present,NF,inne,False,indywidualne,N
"Warto jednak podkreślić, że dzieje się tak głównie za sprawą zapobiegliwości najbogatszych i najbardziej obrotnych Polaków. ", dzieje się tak głównie za sprawą zapobiegliwości najbogatszych i najbardziej obrotnych Polaków. ,"podkreślić, że_",mówienia,present,NF,present,False,indywidualne,N
"Przeciwnie, uważano, że teraz niebezpieczeństwo było już beznadziejnie śmiertelne, bo, jak się okazało, nikt nie miał odwagi powstrzymać świata, który od dłuższego czasu staczał się nieuchronnie w przepaść.",teraz niebezpieczeństwo było już beznadziejnie śmiertelne,"uważać, że_",epistemiczny,,NF,past,False,indywidualne,N
"Gdy przybyli, okazało się, że nie ma żadnych ciał.",nie ma żadnych ciał.,"okazać się, że_",inne,past,NF,present,False,indywidualne,E
"Pomyśleć, że 20 lat temu był to świetny samorządowiec. ", 20 lat temu był to świetny samorządowiec. ,"POMYŚLEĆ, że_",epistemiczny,,F,past,False,indywidualne,E
"Ta różnorodność sprawia, że nie popada się w męczącą rutynę, bo raz trzeba wysłuchać całej historii życia klienta, innym razem poznawać tajniki działania największych firm.","nie popada się w męczącą rutynę,","sprawiać, że_",inne,present,NF,present,False,indywidualne,E
"Po dotarciu do końca prezentacji codziennego rachunku sumienia chętnie dopowiem, że warto podjąć to wielce obiecujące ćwiczenie się w tym rodzaju modlitwy.", warto podjąć to wielce obiecujące ćwiczenie się w tym rodzaju modlitwy.,"dopowiedzieć, że_",mówienia,future,NF,inne,False,indywidualne,N
"Nie należy dziwić się, że jesteśmy bardziej podenerwowani i podatni na agresję.",jesteśmy bardziej podenerwowani i podatni na agresję.,"dziwić się, że_",epistemiczny,present,F,present,True,indywidualne,E
"Powiedział, że zamiast tego wolałby dostać nawet 5 tys. złotych grzywny",zamiast tego wolałby dostać nawet 5 tys. złotych grzywny,"powiedzieć, że_",mówienia,past,NF,inne,False,indywidualne,N
"jedną z konsekwencji wprowadzenia zakazu wydawania ciepłych posiłków (uzasadnianego tym, że stoczniowcy mają „pracować, a nie przesiadywać w barach”) był fakt, że w zimie na przełomie 2001/2002 roku część stoczniowców pracujących na mrozie nie miała możliwości napicia się ciepłych napojów. "," ""stoczniowcy mają „pracować, a nie przesiadywać w barach”","uzasadniać, że_",mówienia,,NF,present,False,indywidualne,N
"Masz zamiar udawać, że nic się nie stało?",nic się nie stało?,"udawać, że_",inne,present,NF,past,False,pytajne,C
"Wyjście z więzienia zbiega się czasem z tą wspaniałą sytuacją, że dziecko bierze w końcu odpowiedzialność za swoje życie rozumiejąc, że ma je tylko jedno. ",ma je tylko jedno. ,"rozumieć, że_",epistemiczny,present,F,present,False,reguła,N
"Uważam, że powołanie kogoś, kto nie sprawdził się w szpitalu i jako szef spółdzielni mieszkaniowej, może budzić wątpliwości","powołanie kogoś, kto nie sprawdził się w szpitalu i jako szef spółdzielni mieszkaniowej, może budzić wątpliwości","uważać, że_",epistemiczny,present,NF,present,False,indywidualne,N
wydawałoby się oczywiste że wola należy yy yy do zmarłego ale domyślam się że mogą być różne sytuacje kiedy zmarły życzy sobie tak a rodzina mówi nie ślub yyy ślub pogrzeb będzie yyy kościelny ,mogą być różne sytuacje ,"domyślam(y) się, że_",epistemiczny,present,NF,present,False,indywidualne,N
" Gdy ktoś jest zadowolony ze swego życia, wiedzie mu się nieźle, ale chciałby sobie polepszyć kupując tzw. remedia Feng Shui, ustawiając gdzie się da (bo modne), nagle dziwi się, że skutek jest odwrotny od zamierzonego.", skutek jest odwrotny od zamierzonego.,"dziwić się, że_",epistemiczny,present,F,present,False,reguła,E
"Śmiali się w nos, gdym wszczął gwałt i upierałem się w Home Office, że jeżeli chcą być logicznymi, muszą mnie uważać za Niemca.","jeżeli chcą być logicznymi, muszą mnie uważać za Niemca.","upierać się, że_",mówienia,past,NF,inne,False,indywidualne,N
" Czuję, że już mnie nie kochasz. ",już mnie nie kochasz. ,"[e] czuć, że_",epistemiczny,present,NF,present,False,indywidualne,N
" Przede wszystkim, zasadniczo religijny sposób myślenia i odczuwania każe jej, w znacznie większej mierze niż to czyni Różewicz, operować paradoksem - a obecność paradoksu sprawia, że wiersz staje się nie samym tylko nagim zapisem doświadczenia lecz intelektualną konstrukcją. ", wiersz staje się nie samym tylko nagim zapisem doświadczenia lecz intelektualną konstrukcją. ,"sprawiać, że_",inne,present,NF,present,False,indywidualne,E
mówienie o czymś takim że u nas jest homofobia to jest po prostu niesprawiedliwe ,u nas jest homofobia ,"mówić, że_",mówienia,,NF,present,False,indywidualne,N
"Po prostu, powiedz mu, że ma się odczepić. ",ma się odczepić. ,"powiedzieć, że_",mówienia,,NF,present,False,imperatyw,N
"Rok temu pisaliśmy, że demokracja nie uznaje żadnych świętości i że pani prezydentowa, wzywana wówczas przez komisję orlenowską o ujawnienie finansów swojej fundacji, musi publicznej takiej lustracji się poddać. "," pani prezydentowa, wzywana wówczas przez komisję orlenowską o ujawnienie finansów swojej fundacji, musi publicznej takiej lustracji się poddać. ","pisać, że_",mówienia,past,NF,present,False,indywidualne,N
"Myślałam, że przynajmniej z panem sobie porozmawiam. ",przynajmniej z panem sobie porozmawiam. ,"myśleć, że_",epistemiczny,past,NF,future,False,indywidualne,C
wydaje mi się że dla PiS-u szczególnie istotny jest wynik a nawet nie tyle wynik procentowy. co to ilu będzie ta partia miała radnych starostów burmistrzów ,dla PiS-u szczególnie istotny jest wynik,"wydaje się komuś, że_",epistemiczny,present,NF,present,False,indywidualne,N
"Może ty myślisz, że jednym ludziom Pan Bóg daje serca, a drugim kamienie"," jednym ludziom Pan Bóg daje serca, a drugim kamienie","myśleć, że_",epistemiczny,present,NF,present,False,indywidualne,N
myślę że na tego typu osiedlu będą mieszkali ludzie którzy po prostu dobrze wykonują swoje obowiązki tak bym powiedział i nie specjalnie przejmują się otoczeniem w którym śpią poza tym że chcą też być sami,na tego typu osiedlu będą mieszkali ludzie którzy po prostu dobrze wykonują swoje obowiązki ,"myśleć, że_",epistemiczny,present,NF,future,False,indywidualne,N
"Wobec wyników głosowania stwierdzam, że Senat podjął uchwałę w sprawie ustawy o świadczeniach pieniężnych z ubezpieczenia społecznego w razie choroby i macierzyństwa.",Senat podjął uchwałę w sprawie ustawy o świadczeniach pieniężnych z ubezpieczenia społecznego w razie choroby i macierzyństwa.,"stwierdzać, że_",mówienia,present,NF,past,False,performatyw,N
"Aby paradoksom nie było końca, wypada zauważyć, że obecnie okrawa się MSWiA, a wzmacnia nowymi urzędami premiera, którym - jak wiele wskazuje - będzie Leszek Miller. ","obecnie okrawa się MSWiA, a wzmacnia nowymi urzędami premiera","[e] zauważyć, że_",epistemiczny,,F,present,False,indywidualne,E
" I... dzięki niemu zrozumiałam, że... jednak warto dalej żyć...",jednak warto dalej żyć...,"zrozumieć, że_",epistemiczny,past,F,inne,False,indywidualne,E
"Pewną wadą zmiennych jest konieczność ich deklarowania, tj. informowania kompilatora, że dana zmienna jest określonego typu.", dana zmienna jest określonego typu.,"informować, że_",mówienia,present,NF,present,False,indywidualne,N
"Należy jednak pamiętać, że policjantowi, który na co dzień zajmuje się sprawami przykrymi, tragicznymi, daje szansę odreagowania i zapobiega kumulowaniu złych uczuć","policjantowi, który na co dzień zajmuje się sprawami przykrymi, tragicznymi, daje szansę odreagowania i zapobiega kumulowaniu złych uczuć ","pamiętać, że_",epistemiczny,present,F,present,False,indywidualne,E
"Uważał, że decydować o wykluczeniu Bąka nie tylko można, ale i trzeba. ","decydować o wykluczeniu Bąka nie tylko można, ale i trzeba. ","uważać, że_",epistemiczny,past,NF,present,False,indywidualne,N
A co ty sobie myślałeś...? Że jakie będzie oficjalne uzasadnienie? ,jakie będzie oficjalne uzasadnienie? ,"myśleć, że_",epistemiczny,past,NF,future,False,pytajne,C
"W ramach walki z drożyzną wielkie sieci hiper- i supermarketów zawarły we wrześniu porozumienie z rządem, w którym zadeklarowały, że do końca roku zamrożą ceny większości artykułów.",do końca roku zamrożą ceny większości artykułów.,"zadeklarować, że_",mówienia,past,NF,future,False,indywidualne,N
wydaje mi się że . akurat mam. prawo bronić decyzji. marszałka Komorowskiego żeby już teraz zgłaszać kandydata na prezesa banku ,akurat mam. prawo bronić decyzji. marszałka Komorowskiego żeby już teraz zgłaszać kandydata na prezesa banku ,"wydaje się komuś, że_",epistemiczny,present,NF,present,False,indywidualne,N
"Udało się ustalić, że obie dziewczynki mogą przebywać w mieszkaniu przy ulicy Wolanowskiej w towarzystwie dwóch mężczyzn w wieku 26 i 38 lat. ",obie dziewczynki mogą przebywać w mieszkaniu przy ulicy Wolanowskiej w towarzystwie dwóch mężczyzn w wieku 26 i 38 lat. ,"ustalić [na podstawie czegoś], że_",epistemiczny,past,NF,present,False,indywidualne,N
"Proszę zauważyć, że prawie wyłącznie atakują psy zerwane z uwięzi, na terenie posesji lub właściwie mieszańce tych w/w groźnych ras. ","prawie wyłącznie atakują psy zerwane z uwięzi, na terenie posesji lub właściwie mieszańce tych w/w groźnych ras. ","[e] zauważyć, że_",epistemiczny,,F,present,False,indywidualne,E
"Kiedy okazało się, że go nie będzie, maluchy tłukły cegły na malutkie kawałki i malowały na biało.",go nie będzie,"okazać się, że_",inne,past,NF,present,False,indywidualne,E
"Nie wtajemniczając jej w szczegóły, powiedziałam, że mam walizkę z robotami stryjenki, bielizną szwajcarską oraz listami. ","mam walizkę z robotami stryjenki, bielizną szwajcarską oraz listami. ","powiedzieć, że_",mówienia,past,NF,present,False,indywidualne,N
"Nikt wówczas nie przypuszczał, że stoi za tym Arnold B., spokojny, bezkonfliktowy pracownik Huty „Baildon”.",stoi za tym Arnold B,"przypuszczać, że_",epistemiczny,past,NF,present,True,indywidualne,E
"skoro uprzytomnimy sobie, że przepływ czasu jest par excellence formą życia świadomości i że struktura przeszłość-teraźniejszość-przyszłość jest jej wyłączną osobliwością, zauważymy natychmiast, że to, co w świadomości zachodzi, jest całkowicie niesprowadzalne do zdarzeń fizycznych i że niemożliwe i absurdalne jest opisywanie tego w ich kategoriach.",struktura przeszłość-teraźniejszość-przyszłość jest jej wyłączną osobliwością,"uprzytomnić sobie, że_",epistemiczny,future,F,present,False,indywidualne,E
nie mówię że miała ,miała ,"mówić, że_",mówienia,present,NF,past,True,indywidualne,N
"Finansowa odpowiedzialność za dobry stan tych linii spoczywa właśnie na państwie – ustawa mówi, że ma ono pokrywać wszelkie koszty remontów i inwestycji.",ma ono pokrywać wszelkie koszty remontów i inwestycji.,"mówić, że_",mówienia,past,NF,present,False,indywidualne,N
